"palabra","tipo","categoría","diccionario"
"alcahueta","palabra","ofensa-violencia","ofensivos-violencia"
"alcahuete","palabra","ofensa-violencia","ofensivos-violencia"
"amargada","palabra","ofensa-violencia","ofensivos-violencia"
"amarrenla","palabra","ofensa-violencia","ofensivos-violencia"
"arguendera","palabra","ofensa-violencia","ofensivos-violencia"
"arguendero","palabra","ofensa-violencia","ofensivos-violencia"
"babosa","palabra","ofensa-violencia","ofensivos-violencia"
"babosas","palabra","ofensa-violencia","ofensivos-violencia"
"babosos","palabra","ofensa-violencia","ofensivos-violencia"
"babos0","palabra","ofensa-violencia","ofensivos-violencia"
"babos@","palabra","ofensa-violencia","ofensivos-violencia"
"baboso","palabra","ofensa-violencia","ofensivos-violencia"
"barbajanas","palabra","ofensa-violencia","ofensivos-violencia"
"barbajana","palabra","ofensa-violencia","ofensivos-violencia"
"barbajan","palabra","ofensa-violencia","ofensivos-violencia"
"barbajanes","palabra","ofensa-violencia","ofensivos-violencia"
"bastarda","palabra","ofensa-violencia","ofensivos-violencia"
"bastardo","palabra","ofensa-violencia","ofensivos-violencia"
"bastardos","palabra","ofensa-violencia","ofensivos-violencia"
"bastardas","palabra","ofensa-violencia","ofensivos-violencia"
"berrinchuda","palabra","ofensa-violencia","ofensivos-violencia"
"berrinchudo","palabra","ofensa-violencia","ofensivos-violencia"
"berrinchudas","palabra","ofensa-violencia","ofensivos-violencia"
"berrinchudos","palabra","ofensa-violencia","ofensivos-violencia"
"botijona","palabra","ofensa-violencia","ofensivos-violencia"
"bruja","palabra","ofensa-violencia","ofensivos-violencia"
"brujas","palabra","ofensa-violencia","ofensivos-violencia"
"burra","palabra","ofensa-violencia","ofensivos-violencia"
"burro","palabra","ofensa-violencia","ofensivos-violencia"
"burros","palabra","ofensa-violencia","ofensivos-violencia"
"burras","palabra","ofensa-violencia","ofensivos-violencia"
"buscona","palabra","ofensa-violencia","ofensivos-violencia"
"c@c@","palabra","ofensa-violencia","ofensivos-violencia"
"c@c@s","palabra","ofensa-violencia","ofensivos-violencia"
"caca","palabra","ofensa-violencia","ofensivos-violencia"
"cacas","palabra","ofensa-violencia","ofensivos-violencia"
"caquita","palabra","ofensa-violencia","ofensivos-violencia"
"caquitas","palabra","ofensa-violencia","ofensivos-violencia"
"caguengue","palabra","ofensa-violencia","ofensivos-violencia"
"cagazon","palabra","ofensa-violencia","ofensivos-violencia"
"cagazona","palabra","ofensa-violencia","ofensivos-violencia"
"caguengues","palabra","ofensa-violencia","ofensivos-violencia"
"cagante","palabra","ofensa-violencia","ofensivos-violencia"
"cago","palabra","ofensa-violencia","ofensivos-violencia"
"caga","palabra","ofensa-violencia","ofensivos-violencia"
"cague","palabra","ofensa-violencia","ofensivos-violencia"
"calientapollas","palabra","ofensa-violencia","ofensivos-violencia"
"carajo","palabra","ofensa-violencia","ofensivos-violencia"
"concha de tu madre","frase","ofensa-violencia","ofensivos-violencia"
